Generation,Identifier,Finish,Storage,Model
,,Space Gray,64 GB,MT9E2
,,,256 GB,MT9H2
,,,512 GB,MT9L2
,,Gold,64 GB,MTAY2
,,,256 GB,MTE22
,,,512 GB,MTE52
,,Silver,64 GB,MTAX2
,,,256 GB,MTE12
,,,512 GB,MTE42
,,Space Gray,64 GB,MTAW2
,,,256 GB,MTE02
,,,512 GB,MTE32
,,Gold,64 GB,MT9R2
,,,256 GB,MT9V2
,,,512 GB,MT9Y2
,,Silver,64 GB,MT9Q2
,,,256 GB,MT9U2
,,,512 GB,MT9X2
,,Space Gray,64 GB,MT9P2
,,,256 GB,MT9T2
,,,512 GB,MT9W2
iPhone XS Max,"iPhone11,6",Gold,64 GB,"MT5X2, MT672, MT5M2, MT6H2, MT5C2, 3D897[6]"
,,,256 GB,"MT612, MT6A2, MT5Q2, MT6L2, MT5F2"
,,,512 GB,"MT642, MT6E2, MT5U2, MT6P2, MT5J2"
,,Silver,64 GB,"MT5W2, MT662, MT5L2, MT6G2, MT5A2"
,,,256 GB,"MT602, MT692, MT5P2, MT6K2, MT5E2"
,,,512 GB,"MT632, MT6D2, MT5T2, MT6N2, MT5H2"
,,Space Gray,64 GB,"MT5V2, MT652, MT5K2, MT6F2, MT592"
,,,256 GB,"MT5Y2, MT682, MT5N2, MT6J2, MT5D2"
,,,512 GB,"MT622, MT6C2, MT5R2, MT6M2, MT5G2"
,,Gold,64 GB,"MT522, 3D879[6]"
,,,256 GB,MT552
,,,512 GB,MT582
,,Silver,64 GB,MT512
,,,256 GB,MT542
,,,512 GB,MT572
,,Space Gray,64 GB,MT502
,,,256 GB,MT532
,,,512 GB,MT562
,,Gold,64 GB,MT6T2
,,,256 GB,MT6W2
,,,512 GB,MT702
,,Silver,64 GB,MT6R2
,,,256 GB,MT6V2
,,,512 GB,MT6Y2
,,Space Gray,64 GB,MT6Q2
,,,256 GB,MT6U2
,,,512 GB,MT6X2
,,Gold,64 GB,MT732
,,,256 GB,MT762
,,,512 GB,MT792
,,Silver,64 GB,MT722
,,,256 GB,MT752
,,,512 GB,MT782
,,Space Gray,64 GB,MT712
,,,256 GB,MT742
,,,512 GB,MT772
,"iPhone11,4",Gold,64 GB,MT7D2
,,,256 GB,MT7G2
,,,512 GB,?
,,Silver,64 GB,?
,,,256 GB,?
,,,512 GB,?
,,Space Gray,64 GB,?
,,,256 GB,MT7E2
,,,512 GB,?
iPhone 11,"iPhone12,1",Black,64 GB,"MWHT2, MWK02, MWJE2, MWKM2, MWL72"
,,,128 GB,"MWJ02, MWK72, MWJL2, MWKU2, MWLE2"
,,,256 GB,"MWJ62, MWKF2, MWJT2, MWL12, MWLL2"
